title	price	listing_url	location	installment	posted_time	year	lower_km	upper_km
Dijual mobil new KIA RIO 2013 AT	110000000	https://olx.co.id/olxmobbi/item/dijual-mobil-new-kia-rio-2013-at-iid-922292684	Wonosalam	0.0	25 Jun		105000.0	110000.0
Kia Rio 2012 at mulus	120000000	https://olx.co.id/olxmobbi/item/kia-rio-2012-at-mulus-iid-922292513	Bojongloa Kidul	0.0	25 Jun	2012.0	85000.0	90000.0
KIA RIO 2013 MT	115000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-mt-iid-922284843	Bojongsoang	0.0	25 Jun	2013.0		
Kia Rio 2011 Bensin	63000000	https://olx.co.id/olxmobbi/item/kia-rio-2011-bensin-iid-922284769	Bojongloa Kidul	0.0	25 Jun	2011.0	155000.0	160000.0
KIA RIO SE MANUAL 2014 MURAH !	102500000	https://olx.co.id/olxmobbi/item/kia-rio-se-manual-2014-murah--iid-922270040	Cirebon Kota	0.0	25 Jun	2014.0	90000.0	95000.0
Kia Rio 2014 Bensin	125000000	https://olx.co.id/olxmobbi/item/kia-rio-2014-bensin-iid-922269684	Soreang	0.0	25 Jun	2014.0	115000.0	120000.0
SIAP PAKAI KIA RIO 2014 + BONUS	108250000	https://olx.co.id/olxmobbi/item/siap-pakai-kia-rio-2014-bonus-iid-922260256	TarumajayaKemarin		24 Jun	2014.0	130000.0	
Kia Rio 2013 Bensin	110000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-bensin-iid-922256653	TawangKemarin	0.0	24 Jun	2013.0	115000.0	120000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Hita	125000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-hita-iid-920470914	Bekasi Utara	2800000.0	25 Jun	2014.0	115000.0	120000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2012 Abu(KYB)	102000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2012-abukyb-iid-918930182	Cibubur		25 Jun	2012.0	65000.0	70000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2012 silver (KYB)	95000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2012-silver-kyb-iid-921026451	Cibubur		25 Jun	2012.0	65000.0	70000.0
KIA Rio 1.4 Bensin-AT Automatic 2014 Merah	107000000	https://olx.co.id/olxmobbi/item/kia-rio-14-bensin-at-automatic-2014-merah-iid-921032643	Beji	2400000.0	25 Jun	2014.0	120000.0	125000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Putih (SMO)	115000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-putih-smo-iid-921125258	Bekasi Barat	2600000.0	25 Jun	2014.0	105000.0	110000.0
KM Low Antik Kia Rio Sunroof ABS 2017 Istimewa #aokl#	173000000	https://olx.co.id/olxmobbi/item/km-low-antik-kia-rio-sunroof-abs-2017-istimewa-aokl-iid-921897086	Kebayoran Lama	0.0	15 Jun	2017.0	25000.0	30000.0
DP 10jt  / KIA Rio manual 2012	97000000	https://olx.co.id/olxmobbi/item/dp-10jt-kia-rio-manual-2012-iid-920701896	Berbah	0.0	22 Jun	2012.0	95000.0	100000.0
New Rio 2012 at yg keren	105000000	https://olx.co.id/olxmobbi/item/new-rio-2012-at-yg-keren-iid-921257816	Klojen	0.0	01 Jun	2012.0	130000.0	135000.0
Kia Rio 2013 Bensin	110000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-bensin-iid-922256651	TawangKemarin	0.0	24 Jun	2013.0		120000.0
Kia Rio 2015 Bensin	150000000	https://olx.co.id/olxmobbi/item/kia-rio-2015-bensin-iid-922238919	CisaukKemarin	0.0	24 Jun		115000.0	120000.0
Jual kia rio sf 2005 original	40000000	https://olx.co.id/olxmobbi/item/jual-kia-rio-sf-2005-original-iid-922227442	KatapangKemarin		24 Jun	2005.0	90000.0	95000.0
Kia Rio 2013 Bensin	118000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-bensin-iid-922220771	Regol		23 Jun	2013.0	85000.0	90000.0
Kia Rio matic 1.3	110000000	https://olx.co.id/olxmobbi/item/kia-rio-matic-13-iid-922214067	Bogor Selatan - Kota	0.0	23 Jun	2014.0	75000.0	80000.0
Kia Rio 1.4 AT 2012 Abu Siap Pakai	99000000	https://olx.co.id/olxmobbi/item/kia-rio-14-at-2012-abu-siap-pakai-iid-922196197	Serpong	0.0	22 Jun	2012.0	100000.0	105000.0
Kia Rio 2015 Bensin	72500000	https://olx.co.id/olxmobbi/item/kia-rio-2015-bensin-iid-922189703	Gondokusuman	0.0	22 Jun	2015.0	300000.0	
Kia Rio 2013 Bensin	127000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-bensin-iid-922189026	Kedaton	0.0	22 Jun	2013.0	115000.0	120000.0
Kia Rio 1.4 AT 2012 [ Termurah ]	99000000	https://olx.co.id/olxmobbi/item/kia-rio-14-at-2012-termurah--iid-922182368	Cempaka Putih	0.0	22 Jun	2012.0	105000.0	
Jual Rio SE ( AT ) 2014/2013	120000000	https://olx.co.id/olxmobbi/item/jual-rio-se-at-20142013-iid-922179495	Lengkong	0.0	22 Jun	2013.0	70000.0	75000.0
Kia Rio 1.4 At 2012 Abu Abu metalik	99000000	https://olx.co.id/olxmobbi/item/kia-rio-14-at-2012-abu-abu-metalik-iid-922153091	Gading Serpong	0.0	21 Jun		100000.0	
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Hita	125000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-hita-iid-920470914	Bekasi Barat	2800000.0	25 Jun	2014.0	115000.0	120000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Putih (SMO)	109000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-putih-smo-iid-920298199	Cibubur	2400000.0	25 Jun	2014.0	105000.0	
[OLXmobbi] KIA RIO 1.4 BENSIN A/T 2016 MERAH	151000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-bensin-at-2016-merah-iid-919019694	Dago	3400000.0	25 Jun		35000.0	
[OLXmobbi] KIA RIO 1.4 BENSIN A/T 2013 PUTIH	122000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-bensin-at-2013-putih-iid-922148606	Cimahi Utara	2700000.0	25 Jun	2013.0	90000.0	95000.0
[OLXmobbi] KIA RIO 1.4 BENSIN A/T 2016 MERAH	151000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-bensin-at-2016-merah-iid-919020790	Soekarno HattaKemarin	3400000.0	24 Jun		35000.0	40000.0
Kia Rio 2001 Bensin	28500000	https://olx.co.id/olxmobbi/item/kia-rio-2001-bensin-iid-922150671	Kalideres	0.0	21 Jun		195000.0	200000.0
KIA RIO 1.4 SE AT tahun 2013 istimewa terawat siap pakai	107500000	https://olx.co.id/olxmobbi/item/kia-rio-14-se-at-tahun-2013-istimewa-terawat-siap-pakai-iid-922146600	Mampang Prapatan	0.0	21 Jun	2013.0	105000.0	110000.0
DP 14JT // NEW KIA RIO SE 1.4 AT 2013	109000000	https://olx.co.id/olxmobbi/item/dp-14jt-new-kia-rio-se-14-at-2013-iid-922136225	Lengkong	0.0	21 Jun	2013.0	105000.0	110000.0
Kia Rio 2012 Bensin	90000000	https://olx.co.id/olxmobbi/item/kia-rio-2012-bensin-iid-920433777	Cicurug	0.0	21 Jun	2012.0	85000.0	90000.0
KiA RIO 1.4 MATIC 2020 SUNROOF Terawat	185000000	https://olx.co.id/olxmobbi/item/kia-rio-14-matic-2020-sunroof-terawat-iid-922110504	Kebon Jeruk	0.0	20 Jun		35000.0	40000.0
jual kia rio matic 2013	122000000	https://olx.co.id/olxmobbi/item/jual-kia-rio-matic-2013-iid-920698906	Arcamanik	0.0	20 Jun	2013.0	70000.0	75000.0
HOT ITEMS! KIA RIO 1.4 AT 2012	99000000	https://olx.co.id/olxmobbi/item/hot-items-kia-rio-14-at-2012-iid-922096048	Serpong	0.0	20 Jun		100000.0	
Kia Rio Manual Tahun 2013 Kondisi Mulus Terawat Istimewa Seperti Baru	90000000	https://olx.co.id/olxmobbi/item/kia-rio-manual-tahun-2013-kondisi-mulus-terawat-istimewa-seperti-baru-iid-922094057	Bekasi Barat	0.0	20 Jun	2013.0	155000.0	160000.0
Kia Rio 1.4 AT 2016	157500000	https://olx.co.id/olxmobbi/item/kia-rio-14-at-2016-iid-922087661	Sumur Bandung	0.0	20 Jun	2016.0	70000.0	75000.0
Dp20 JT /KIA Rio manual 2015 nik 2014	112000000	https://olx.co.id/olxmobbi/item/dp20-jt-kia-rio-manual-2015-nik-2014-iid-918020984	Jetis	0.0	20 Jun	2014.0	95000.0	100000.0
DP 10jt aja /KIA Rio manual 2012	97000000	https://olx.co.id/olxmobbi/item/dp-10jt-aja-kia-rio-manual-2012-iid-920242764	Bantul	0.0	20 Jun	2012.0	90000.0	95000.0
[OLXmobbi] Kia Rio 1.4 SE Bensin-AT 2014 Hita	125000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-se-bensin-at-2014-hita-iid-920470914	Cibinong	2800000.0	25 Jun	2014.0		
[OLXmobbi] KIA RIO 1.4 BENSIN A/T 2013 PUTIH	122000000	https://olx.co.id/olxmobbi/item/olxmobbi-kia-rio-14-bensin-at-2013-putih-iid-922149459	DagoKemarin	2700000.0	24 Jun	2013.0	90000.0	95000.0
[OLX Mobbi] KIA Rio 1.4 Bensin-AT 2014 7BK	117000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-bensin-at-2014-7bk-iid-922111105	CilangkapKemarin	2600000.0	24 Jun	2014.0	115000.0	120000.0
[OLX Mobbi] Kia Rio 1.4 Bensin-AT 2013	111000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-bensin-at-2013-iid-921077370	Bogor Utara - KotaKemarin	2500000.0	24 Jun	2013.0	120000.0	125000.0
[OLX Mobbi] Kia Rio 1.4 SE Bensin-AT 2012 KYC	98000000	https://olx.co.id/olxmobbi/item/olx-mobbi-kia-rio-14-se-bensin-at-2012-kyc-iid-920620485	SukmajayaKemarin	2200000.0	24 Jun	2012.0	90000.0	95000.0
Dijual Kia Rio 1.4 M/T Warna Putih 2013	98000000	https://olx.co.id/olxmobbi/item/dijual-kia-rio-14-mt-warna-putih-2013-iid-920620567	Medan Sunggal	0.0	20 Jun	2013.0	100000.0	105000.0
Kia Rio 2014 Pemakaian 2015	123500000	https://olx.co.id/olxmobbi/item/kia-rio-2014-pemakaian-2015-iid-922065953	Andir	0.0	19 Jun	2014.0	30000.0	35000.0
KIA RIO Manual MT 2012	85000000	https://olx.co.id/olxmobbi/item/kia-rio-manual-mt-2012-iid-922002159	Kertak Hanyar	0.0	19 Jun	2012.0		145000.0
Kia RIo 2013 AT Merah Km100rb Matic Tangsel Vcool Terawat	119000000	https://olx.co.id/olxmobbi/item/kia-rio-2013-at-merah-km100rb-matic-tangsel-vcool-terawat-iid-922030822	Regol	0.0	19 Jun	2013.0	100000.0	105000.0
Dijual mobil kia rio	95000000	https://olx.co.id/olxmobbi/item/dijual-mobil-kia-rio-iid-922026810	Ulee Kareng		18 Jun	2012.0	100000.0	105000.0
Kia Rio manual 2016	138000000	https://olx.co.id/olxmobbi/item/kia-rio-manual-2016-iid-922015815	Daan Mogot	0.0	18 Jun		65000.0	70000.0
Kia Rio 1.4 MT. Tahun 2016. Merah. Low km. Perfect cond	138000000	https://olx.co.id/olxmobbi/item/kia-rio-14-mt-tahun-2016-merah-low-km-perfect-cond-iid-922015367	Cempaka Putih	0.0	18 Jun	2016.0	60000.0	
Dijual KIA RIO AT 2015	122000000	https://olx.co.id/olxmobbi/item/dijual-kia-rio-at-2015-iid-920443915	Gunung Putri	0.0	18 Jun	2015.0	130000.0	135000.0
